1, 35769454.927297
2, 36628979.151302
3, 36792856.562607
4, 36795446.950308
5, 36853269.779314
6, 36861848.889755
7, 36863420.872521
8, 36863420.872521
9, 36863420.872521
10, 36882470.193402
11, 36883078.688092
12, 36883078.688092
13, 36883222.507460
14, 36883459.831352
15, 36883459.831352
16, 36883718.663261
17, 36883718.663261
18, 36883718.663261
19, 36883718.663261
20, 36883718.663261
21, 36883718.663261
22, 36883718.663261
23, 36883718.663261
24, 36884021.221061
25, 36884269.862517
26, 36884269.919591
27, 36884933.814297
28, 36884933.814297
29, 36884933.814297
30, 36884933.814298
31, 36884933.814311
32, 36884933.814311
33, 36884933.814311
34, 36884936.542681
35, 36884941.024126
36, 36884941.024126
37, 36884941.024126
38, 36884941.024126
39, 36884941.024126
40, 36884941.024126
41, 36884965.821873
42, 36884965.821930
43, 36884965.821930
44, 36884965.821930
45, 36884965.821930
46, 36884965.821930
47, 36884965.821930
48, 36884965.821930
49, 36884980.268886
50, 36884980.268886
51, 36884980.268886
52, 36884980.268886
53, 36884980.268886
54, 36884980.268886
55, 36884980.268886
56, 36884980.268886
57, 36884980.268886
58, 36884980.268886
59, 36884980.268886
60, 36884980.268886
61, 36884980.268886
62, 36884980.268886
63, 36884980.268886
64, 36884980.268886
65, 36884980.268886
66, 36884980.268886
67, 36884980.268886
68, 36884980.268886
69, 36884980.452432
70, 36884980.452432
71, 36884980.452432
72, 36884980.452432
73, 36884980.452432
74, 36884980.452432
75, 36884980.452432
76, 36884980.452432
77, 36884980.452432
78, 36884980.452432
79, 36884980.475386
80, 36884980.475386
81, 36884980.475386
82, 36884980.475386
83, 36884980.537644
84, 36884980.537644
85, 36884980.537644
86, 36884980.537644
87, 36884980.537644
88, 36884980.537644
89, 36884980.537644
90, 36884980.537644
91, 36884980.537644
92, 36884980.537644
93, 36884980.537644
94, 36884980.537644
95, 36884980.537644
96, 36884980.537647
97, 36884980.813266
98, 36884980.813266
99, 36884980.813266
100, 36884980.813266
101, 36884980.813266
102, 36884980.813406
103, 36884980.954653
104, 36884980.954653
105, 36884980.954654
106, 36884980.954654
107, 36884980.954654
108, 36884980.954654
